# ImageMagick pixel enumeration: 240,1,255,srgb
0,0: (0, 0, 0)
1,0: (0, 0, 95)
2,0: (0, 0, 135)
3,0: (0, 0, 175)
4,0: (0, 0, 215)
5,0: (0, 0, 255)
6,0: (0, 95, 0)
7,0: (0, 95, 95)
8,0: (0, 95, 135)
9,0: (0, 95, 175)
10,0: (0, 95, 215)
11,0: (0, 95, 255)
12,0: (0, 135, 0)
13,0: (0, 135, 95)
14,0: (0, 135, 135)
15,0: (0, 135, 175)
16,0: (0, 135, 215)
17,0: (0, 135, 255)
18,0: (0, 175, 0)
19,0: (0, 175, 95)
20,0: (0, 175, 135)
21,0: (0, 175, 175)
22,0: (0, 175, 215)
23,0: (0, 175, 255)
24,0: (0, 215, 0)
25,0: (0, 215, 95)
26,0: (0, 215, 135)
27,0: (0, 215, 175)
28,0: (0, 215, 215)
29,0: (0, 215, 255)
30,0: (0, 255, 0)
31,0: (0, 255, 95)
32,0: (0, 255, 135)
33,0: (0, 255, 175)
34,0: (0, 255, 215)
35,0: (0, 255, 255)
36,0: (95, 0, 0)
37,0: (95, 0, 95)
38,0: (95, 0, 135)
39,0: (95, 0, 175)
40,0: (95, 0, 215)
41,0: (95, 0, 255)
42,0: (95, 95, 0)
43,0: (95, 95, 95)
44,0: (95, 95, 135)
45,0: (95, 95, 175)
46,0: (95, 95, 215)
47,0: (95, 95, 255)
48,0: (95, 135, 0)
49,0: (95, 135, 95)
50,0: (95, 135, 135)
51,0: (95, 135, 175)
52,0: (95, 135, 215)
53,0: (95, 135, 255)
54,0: (95, 175, 0)
55,0: (95, 175, 95)
56,0: (95, 175, 135)
57,0: (95, 175, 175)
58,0: (95, 175, 215)
59,0: (95, 175, 255)
60,0: (95, 215, 0)
61,0: (95, 215, 95)
62,0: (95, 215, 135)
63,0: (95, 215, 175)
64,0: (95, 215, 215)
65,0: (95, 215, 255)
66,0: (95, 255, 0)
67,0: (95, 255, 95)
68,0: (95, 255, 135)
69,0: (95, 255, 175)
70,0: (95, 255, 215)
71,0: (95, 255, 255)
72,0: (135, 0, 0)
73,0: (135, 0, 95)
74,0: (135, 0, 135)
75,0: (135, 0, 175)
76,0: (135, 0, 215)
77,0: (135, 0, 255)
78,0: (135, 95, 0)
79,0: (135, 95, 95)
80,0: (135, 95, 135)
81,0: (135, 95, 175)
82,0: (135, 95, 215)
83,0: (135, 95, 255)
84,0: (135, 135, 0)
85,0: (135, 135, 95)
86,0: (135, 135, 135)
87,0: (135, 135, 175)
88,0: (135, 135, 215)
89,0: (135, 135, 255)
90,0: (135, 175, 0)
91,0: (135, 175, 95)
92,0: (135, 175, 135)
93,0: (135, 175, 175)
94,0: (135, 175, 215)
95,0: (135, 175, 255)
96,0: (135, 215, 0)
97,0: (135, 215, 95)
98,0: (135, 215, 135)
99,0: (135, 215, 175)
100,0: (135, 215, 215)
101,0: (135, 215, 255)
102,0: (135, 255, 0)
103,0: (135, 255, 95)
104,0: (135, 255, 135)
105,0: (135, 255, 175)
106,0: (135, 255, 215)
107,0: (135, 255, 255)
108,0: (175, 0, 0)
109,0: (175, 0, 95)
110,0: (175, 0, 135)
111,0: (175, 0, 175)
112,0: (175, 0, 215)
113,0: (175, 0, 255)
114,0: (175, 95, 0)
115,0: (175, 95, 95)
116,0: (175, 95, 135)
117,0: (175, 95, 175)
118,0: (175, 95, 215)
119,0: (175, 95, 255)
120,0: (175, 135, 0)
121,0: (175, 135, 95)
122,0: (175, 135, 135)
123,0: (175, 135, 175)
124,0: (175, 135, 215)
125,0: (175, 135, 255)
126,0: (175, 175, 0)
127,0: (175, 175, 95)
128,0: (175, 175, 135)
129,0: (175, 175, 175)
130,0: (175, 175, 215)
131,0: (175, 175, 255)
132,0: (175, 215, 0)
133,0: (175, 215, 95)
134,0: (175, 215, 135)
135,0: (175, 215, 175)
136,0: (175, 215, 215)
137,0: (175, 215, 255)
138,0: (175, 255, 0)
139,0: (175, 255, 95)
140,0: (175, 255, 135)
141,0: (175, 255, 175)
142,0: (175, 255, 215)
143,0: (175, 255, 255)
144,0: (215, 0, 0)
145,0: (215, 0, 95)
146,0: (215, 0, 135)
147,0: (215, 0, 175)
148,0: (215, 0, 215)
149,0: (215, 0, 255)
150,0: (215, 95, 0)
151,0: (215, 95, 95)
152,0: (215, 95, 135)
153,0: (215, 95, 175)
154,0: (215, 95, 215)
155,0: (215, 95, 255)
156,0: (215, 135, 0)
157,0: (215, 135, 95)
158,0: (215, 135, 135)
159,0: (215, 135, 175)
160,0: (215, 135, 215)
161,0: (215, 135, 255)
162,0: (215, 175, 0)
163,0: (215, 175, 95)
164,0: (215, 175, 135)
165,0: (215, 175, 175)
166,0: (215, 175, 215)
167,0: (215, 175, 255)
168,0: (215, 215, 0)
169,0: (215, 215, 95)
170,0: (215, 215, 135)
171,0: (215, 215, 175)
172,0: (215, 215, 215)
173,0: (215, 215, 255)
174,0: (215, 255, 0)
175,0: (215, 255, 95)
176,0: (215, 255, 135)
177,0: (215, 255, 175)
178,0: (215, 255, 215)
179,0: (215, 255, 255)
180,0: (255, 0, 0)
181,0: (255, 0, 95)
182,0: (255, 0, 135)
183,0: (255, 0, 175)
184,0: (255, 0, 215)
185,0: (255, 0, 255)
186,0: (255, 95, 0)
187,0: (255, 95, 95)
188,0: (255, 95, 135)
189,0: (255, 95, 175)
190,0: (255, 95, 215)
191,0: (255, 95, 255)
192,0: (255, 135, 0)
193,0: (255, 135, 95)
194,0: (255, 135, 135)
195,0: (255, 135, 175)
196,0: (255, 135, 215)
197,0: (255, 135, 255)
198,0: (255, 175, 0)
199,0: (255, 175, 95)
200,0: (255, 175, 135)
201,0: (255, 175, 175)
202,0: (255, 175, 215)
203,0: (255, 175, 255)
204,0: (255, 215, 0)
205,0: (255, 215, 95)
206,0: (255, 215, 135)
207,0: (255, 215, 175)
208,0: (255, 215, 215)
209,0: (255, 215, 255)
210,0: (255, 255, 0)
211,0: (255, 255, 95)
212,0: (255, 255, 135)
213,0: (255, 255, 175)
214,0: (255, 255, 215)
215,0: (255, 255, 255)
216,0: (8, 8, 8)
217,0: (18, 18, 18)
218,0: (28, 28, 28)
219,0: (38, 38, 38)
220,0: (48, 48, 48)
221,0: (58, 58, 58)
222,0: (68, 68, 68)
223,0: (78, 78, 78)
224,0: (88, 88, 88)
225,0: (98, 98, 98)
226,0: (108, 108, 108)
227,0: (118, 118, 118)
228,0: (128, 128, 128)
229,0: (138, 138, 138)
230,0: (148, 148, 148)
231,0: (158, 158, 158)
232,0: (168, 168, 168)
233,0: (178, 178, 178)
234,0: (188, 188, 188)
235,0: (198, 198, 198)
236,0: (208, 208, 208)
237,0: (218, 218, 218)
238,0: (228, 228, 228)
239,0: (238, 238, 238)
